allow_commercial,analysis_method,announcement_date,available_in_zeroeval,benchmark_id,benchmark_name,categories_model,country,created_at,data_type,description_x,fine_tuned_from_model_id,implementation_link,is_self_reported,knowledge_cutoff,language_model,license_id_x,max_score_model,modality_model,model_benchmark_id,model_family_id,model_id,multilingual_model,multimodal_x,name_x,normalized_score,organization_country,organization_description,organization_id_x,organization_name_x,organization_website,paper_link,param_count_x,parent_benchmark_id,provider_id,release_date_x,score,self_reported_source_link,source_api_ref,source_paper,source_playground,source_repo_link,source_scorecard_blog_link,source_weights_link,training_tokens,updated_at,verification_date,verification_hardware,verification_notes,verification_provider_id,verified,verified_by_llmstats,website,param_count_disclosed_x,param_count_clean_x,training_tokens_disclosed_x,training_tokens_clean_x,score_clean,normalized_score_clean,license_type_x,release_year_x,release_month_x,release_year_month_x,cost_per_million_io_tokens,model_size_category_x,performance_category,name_y,organization_id_y,organization_name_y,param_count_y,param_count_clean_y,param_count_disclosed_y,training_tokens_clean_y,training_tokens_disclosed_y,multimodal_y,license_id_y,license_type_y,release_date_y,release_year_y,release_month_y,release_year_month_y,model_size_category_y,description_y,name,categories_benchmark,modality_benchmark,multilingual_benchmark,max_score_benchmark,language_benchmark,description,performance_ratio,is_general,is_code,is_math,is_reasoning,is_language,is_multimodal,is_safety,is_long_context,is_roleplay,is_agents,is_factuality,is_vision,is_multimodal_model,is_large_model,is_open_source,is_recent_model,is_2025_model,performance_tier,model_family
,0-shot,,,global-mmlu,Global-MMLU,,,2025-07-19T19:56:13.756363+00:00,benchmark_result,,,,True,,,,,,1315.0,,gemma-3n-e4b-it,,,,0.603,,,google,,,,,,,,0.603,https://huggingface.co/google/gemma-3n-E4B-it,,,,,,,,2025-07-19T19:56:13.756363+00:00,,,,,,False,,False,0.0,False,0.0,0.603,0.603,Unknown,,,,,Undisclosed,Fair (60-69%),Gemma 3n E4B Instructed,google,Google,8000000000.0,8000000000.0,True,11000000000000.0,True,True,proprietary,Proprietary,2025-06-26,2025.0,6.0,2025-06,Very Large (>70B),"Gemma 3n is a multimodal model designed to run locally on hardware, supporting image, text, audio, and video inputs. It features a language decoder, audio encoder, and vision encoder, and is available in two sizes: E2B and E4B. The model is optimized for memory efficiency, allowing it to run on devices with limited GPU RAM. Gemma is a family of lightweight, state-of-the-art open models from Google, built from the same research and technology used to create the Gemini models. Gemma models are well-suited for a variety of content understanding tasks, including question answering, summarization, and reasoning. Their relatively small size makes it possible to deploy them in environments with limited resources such as laptops, desktops or your own cloud infrastructure, democratizing access to state of the art AI models and helping foster innovation for everyone. Gemma 3n models are designed for efficient execution on low-resource devices. They are capable of multimodal input, handling text, image, video, and audio input, and generating text outputs, with open weights for instruction-tuned variants. These models were trained with data in over 140 spoken languages.",Global-MMLU,"['general', 'language', 'reasoning']",text,True,1.0,en,"A comprehensive multilingual benchmark covering 42 languages that addresses cultural and linguistic biases in evaluation, with improved translation quality and culturally sensitive question subsets.",0.603,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,Fair (60-70%),gemma
,Accuracy. 0-shot.,,,global-mmlu-lite,Global-MMLU-Lite,,,2025-07-19T19:56:13.552233+00:00,benchmark_result,,,,True,,,,,,1213.0,,gemma-3n-e4b-it,,,,0.645,,,google,,,,,,,,0.645,https://huggingface.co/google/gemma-3n-E4B-it,,,,,,,,2025-07-19T19:56:13.552233+00:00,,,,,,False,,False,0.0,False,0.0,0.645,0.645,Unknown,,,,,Undisclosed,Fair (60-69%),Gemma 3n E4B Instructed,google,Google,8000000000.0,8000000000.0,True,11000000000000.0,True,True,proprietary,Proprietary,2025-06-26,2025.0,6.0,2025-06,Very Large (>70B),"Gemma 3n is a multimodal model designed to run locally on hardware, supporting image, text, audio, and video inputs. It features a language decoder, audio encoder, and vision encoder, and is available in two sizes: E2B and E4B. The model is optimized for memory efficiency, allowing it to run on devices with limited GPU RAM. Gemma is a family of lightweight, state-of-the-art open models from Google, built from the same research and technology used to create the Gemini models. Gemma models are well-suited for a variety of content understanding tasks, including question answering, summarization, and reasoning. Their relatively small size makes it possible to deploy them in environments with limited resources such as laptops, desktops or your own cloud infrastructure, democratizing access to state of the art AI models and helping foster innovation for everyone. Gemma 3n models are designed for efficient execution on low-resource devices. They are capable of multimodal input, handling text, image, video, and audio input, and generating text outputs, with open weights for instruction-tuned variants. These models were trained with data in over 140 spoken languages.",Global-MMLU-Lite,"['general', 'language', 'reasoning']",text,True,1.0,en,A lightweight version of Global MMLU benchmark that evaluates language models across multiple languages while addressing cultural and linguistic biases in multilingual evaluation.,0.645,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,Fair (60-70%),gemma
,Diamond. 0-shot,,,gpqa,GPQA,,,2025-07-19T19:56:11.624084+00:00,benchmark_result,,,,True,,,,,,273.0,,gemma-3n-e4b-it,,,,0.237,,,google,,,,,,,,0.237,https://huggingface.co/google/gemma-3n-E4B-it,,,,,,,,2025-07-19T19:56:11.624084+00:00,,,,,,False,,False,0.0,False,0.0,0.237,0.237,Unknown,,,,,Undisclosed,Poor (<60%),Gemma 3n E4B Instructed,google,Google,8000000000.0,8000000000.0,True,11000000000000.0,True,True,proprietary,Proprietary,2025-06-26,2025.0,6.0,2025-06,Very Large (>70B),"Gemma 3n is a multimodal model designed to run locally on hardware, supporting image, text, audio, and video inputs. It features a language decoder, audio encoder, and vision encoder, and is available in two sizes: E2B and E4B. The model is optimized for memory efficiency, allowing it to run on devices with limited GPU RAM. Gemma is a family of lightweight, state-of-the-art open models from Google, built from the same research and technology used to create the Gemini models. Gemma models are well-suited for a variety of content understanding tasks, including question answering, summarization, and reasoning. Their relatively small size makes it possible to deploy them in environments with limited resources such as laptops, desktops or your own cloud infrastructure, democratizing access to state of the art AI models and helping foster innovation for everyone. Gemma 3n models are designed for efficient execution on low-resource devices. They are capable of multimodal input, handling text, image, video, and audio input, and generating text outputs, with open weights for instruction-tuned variants. These models were trained with data in over 140 spoken languages.",GPQA,"['reasoning', 'general']",text,False,1.0,en,"A challenging dataset of 448 multiple-choice questions written by domain experts in biology, physics, and chemistry. Questions are Google-proof and extremely difficult, with PhD experts reaching 65% accuracy.",0.237,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Poor (<60%),gemma
,Accuracy. 0-shot.,,,hiddenmath,HiddenMath,,,2025-07-19T19:56:13.438271+00:00,benchmark_result,,,,True,,,,,,1159.0,,gemma-3n-e4b-it,,,,0.377,,,google,,,,,,,,0.377,https://huggingface.co/google/gemma-3n-E4B-it,,,,,,,,2025-07-19T19:56:13.438271+00:00,,,,,,False,,False,0.0,False,0.0,0.377,0.377,Unknown,,,,,Undisclosed,Poor (<60%),Gemma 3n E4B Instructed,google,Google,8000000000.0,8000000000.0,True,11000000000000.0,True,True,proprietary,Proprietary,2025-06-26,2025.0,6.0,2025-06,Very Large (>70B),"Gemma 3n is a multimodal model designed to run locally on hardware, supporting image, text, audio, and video inputs. It features a language decoder, audio encoder, and vision encoder, and is available in two sizes: E2B and E4B. The model is optimized for memory efficiency, allowing it to run on devices with limited GPU RAM. Gemma is a family of lightweight, state-of-the-art open models from Google, built from the same research and technology used to create the Gemini models. Gemma models are well-suited for a variety of content understanding tasks, including question answering, summarization, and reasoning. Their relatively small size makes it possible to deploy them in environments with limited resources such as laptops, desktops or your own cloud infrastructure, democratizing access to state of the art AI models and helping foster innovation for everyone. Gemma 3n models are designed for efficient execution on low-resource devices. They are capable of multimodal input, handling text, image, video, and audio input, and generating text outputs, with open weights for instruction-tuned variants. These models were trained with data in over 140 spoken languages.",HiddenMath,"['math', 'reasoning']",text,False,1.0,en,Google DeepMind's internal mathematical reasoning benchmark that introduces novel problems not encountered during model training to evaluate true mathematical reasoning capabilities rather than memorization,0.377,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Poor (<60%),gemma
,pass@1. 0-shot.,,,humaneval,HumanEval,,,2025-07-19T19:56:12.618954+00:00,benchmark_result,,,,True,,,,,,769.0,,gemma-3n-e4b-it,,,,0.75,,,google,,,,,,,,0.75,https://huggingface.co/google/gemma-3n-E4B-it,,,,,,,,2025-07-19T19:56:12.618954+00:00,,,,,,False,,False,0.0,False,0.0,0.75,0.75,Unknown,,,,,Undisclosed,Good (70-79%),Gemma 3n E4B Instructed,google,Google,8000000000.0,8000000000.0,True,11000000000000.0,True,True,proprietary,Proprietary,2025-06-26,2025.0,6.0,2025-06,Very Large (>70B),"Gemma 3n is a multimodal model designed to run locally on hardware, supporting image, text, audio, and video inputs. It features a language decoder, audio encoder, and vision encoder, and is available in two sizes: E2B and E4B. The model is optimized for memory efficiency, allowing it to run on devices with limited GPU RAM. Gemma is a family of lightweight, state-of-the-art open models from Google, built from the same research and technology used to create the Gemini models. Gemma models are well-suited for a variety of content understanding tasks, including question answering, summarization, and reasoning. Their relatively small size makes it possible to deploy them in environments with limited resources such as laptops, desktops or your own cloud infrastructure, democratizing access to state of the art AI models and helping foster innovation for everyone. Gemma 3n models are designed for efficient execution on low-resource devices. They are capable of multimodal input, handling text, image, video, and audio input, and generating text outputs, with open weights for instruction-tuned variants. These models were trained with data in over 140 spoken languages.",HumanEval,"['reasoning', 'code']",text,False,1.0,en,"A benchmark that measures functional correctness for synthesizing programs from docstrings, consisting of 164 original programming problems assessing language comprehension, algorithms, and simple mathematics",0.75,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Good (70-80%),gemma
,0-shot,,,include,Include,,,2025-07-19T19:56:13.733461+00:00,benchmark_result,,,,True,,,,,,1306.0,,gemma-3n-e4b-it,,,,0.572,,,google,,,,,,,,0.572,https://huggingface.co/google/gemma-3n-E4B-it,,,,,,,,2025-07-19T19:56:13.733461+00:00,,,,,,False,,False,0.0,False,0.0,0.572,0.572,Unknown,,,,,Undisclosed,Poor (<60%),Gemma 3n E4B Instructed,google,Google,8000000000.0,8000000000.0,True,11000000000000.0,True,True,proprietary,Proprietary,2025-06-26,2025.0,6.0,2025-06,Very Large (>70B),"Gemma 3n is a multimodal model designed to run locally on hardware, supporting image, text, audio, and video inputs. It features a language decoder, audio encoder, and vision encoder, and is available in two sizes: E2B and E4B. The model is optimized for memory efficiency, allowing it to run on devices with limited GPU RAM. Gemma is a family of lightweight, state-of-the-art open models from Google, built from the same research and technology used to create the Gemini models. Gemma models are well-suited for a variety of content understanding tasks, including question answering, summarization, and reasoning. Their relatively small size makes it possible to deploy them in environments with limited resources such as laptops, desktops or your own cloud infrastructure, democratizing access to state of the art AI models and helping foster innovation for everyone. Gemma 3n models are designed for efficient execution on low-resource devices. They are capable of multimodal input, handling text, image, video, and audio input, and generating text outputs, with open weights for instruction-tuned variants. These models were trained with data in over 140 spoken languages.",Include,['general'],text,False,1.0,en,Include benchmark - specific documentation not found in official sources,0.572,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Poor (<60%),gemma
,pass@1. 0-shot.,,,livecodebench,LiveCodeBench,,,2025-07-19T19:56:13.304919+00:00,benchmark_result,,,,True,,,,,,1106.0,,gemma-3n-e4b-it,,,,0.132,,,google,,,,,,,,0.132,https://huggingface.co/google/gemma-3n-E4B-it,,,,,,,,2025-07-19T19:56:13.304919+00:00,,,,,,False,,False,0.0,False,0.0,0.132,0.132,Unknown,,,,,Undisclosed,Poor (<60%),Gemma 3n E4B Instructed,google,Google,8000000000.0,8000000000.0,True,11000000000000.0,True,True,proprietary,Proprietary,2025-06-26,2025.0,6.0,2025-06,Very Large (>70B),"Gemma 3n is a multimodal model designed to run locally on hardware, supporting image, text, audio, and video inputs. It features a language decoder, audio encoder, and vision encoder, and is available in two sizes: E2B and E4B. The model is optimized for memory efficiency, allowing it to run on devices with limited GPU RAM. Gemma is a family of lightweight, state-of-the-art open models from Google, built from the same research and technology used to create the Gemini models. Gemma models are well-suited for a variety of content understanding tasks, including question answering, summarization, and reasoning. Their relatively small size makes it possible to deploy them in environments with limited resources such as laptops, desktops or your own cloud infrastructure, democratizing access to state of the art AI models and helping foster innovation for everyone. Gemma 3n models are designed for efficient execution on low-resource devices. They are capable of multimodal input, handling text, image, video, and audio input, and generating text outputs, with open weights for instruction-tuned variants. These models were trained with data in over 140 spoken languages.",LiveCodeBench,"['reasoning', 'general', 'code']",text,False,1.0,en,"LiveCodeBench is a holistic and contamination-free evaluation benchmark for large language models for code. It continuously collects new problems from programming contests (LeetCode, AtCoder, CodeForces) and evaluates four different scenarios: code generation, self-repair, code execution, and test output prediction. Problems are annotated with release dates to enable evaluation on unseen problems released after a model's training cutoff.",0.132,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Poor (<60%),gemma
,pass@1. 0-shot.,,,livecodebench-v5,LiveCodeBench v5,,,2025-07-19T19:56:13.775429+00:00,benchmark_result,,,,True,,,,,,1322.0,,gemma-3n-e4b-it,,,,0.257,,,google,,,,,,,,0.257,https://huggingface.co/google/gemma-3n-E4B-it,,,,,,,,2025-07-19T19:56:13.775429+00:00,,,,,,False,,False,0.0,False,0.0,0.257,0.257,Unknown,,,,,Undisclosed,Poor (<60%),Gemma 3n E4B Instructed,google,Google,8000000000.0,8000000000.0,True,11000000000000.0,True,True,proprietary,Proprietary,2025-06-26,2025.0,6.0,2025-06,Very Large (>70B),"Gemma 3n is a multimodal model designed to run locally on hardware, supporting image, text, audio, and video inputs. It features a language decoder, audio encoder, and vision encoder, and is available in two sizes: E2B and E4B. The model is optimized for memory efficiency, allowing it to run on devices with limited GPU RAM. Gemma is a family of lightweight, state-of-the-art open models from Google, built from the same research and technology used to create the Gemini models. Gemma models are well-suited for a variety of content understanding tasks, including question answering, summarization, and reasoning. Their relatively small size makes it possible to deploy them in environments with limited resources such as laptops, desktops or your own cloud infrastructure, democratizing access to state of the art AI models and helping foster innovation for everyone. Gemma 3n models are designed for efficient execution on low-resource devices. They are capable of multimodal input, handling text, image, video, and audio input, and generating text outputs, with open weights for instruction-tuned variants. These models were trained with data in over 140 spoken languages.",LiveCodeBench v5,"['reasoning', 'general']",text,False,1.0,en,"LiveCodeBench is a holistic and contamination-free evaluation benchmark for large language models for code. It continuously collects new problems from programming contests (LeetCode, AtCoder, CodeForces) and evaluates four different scenarios: code generation, self-repair, code execution, and test output prediction. Problems are annotated with release dates to enable evaluation on unseen problems released after a model's training cutoff.",0.257,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Poor (<60%),gemma
,pass@1. 3-shot.,,,mbpp,MBPP,,,2025-07-19T19:56:13.466832+00:00,benchmark_result,,,,True,,,,,,1171.0,,gemma-3n-e4b-it,,,,0.636,,,google,,,,,,,,0.636,https://huggingface.co/google/gemma-3n-E4B-it,,,,,,,,2025-07-19T19:56:13.466832+00:00,,,,,,False,,False,0.0,False,0.0,0.636,0.636,Unknown,,,,,Undisclosed,Fair (60-69%),Gemma 3n E4B Instructed,google,Google,8000000000.0,8000000000.0,True,11000000000000.0,True,True,proprietary,Proprietary,2025-06-26,2025.0,6.0,2025-06,Very Large (>70B),"Gemma 3n is a multimodal model designed to run locally on hardware, supporting image, text, audio, and video inputs. It features a language decoder, audio encoder, and vision encoder, and is available in two sizes: E2B and E4B. The model is optimized for memory efficiency, allowing it to run on devices with limited GPU RAM. Gemma is a family of lightweight, state-of-the-art open models from Google, built from the same research and technology used to create the Gemini models. Gemma models are well-suited for a variety of content understanding tasks, including question answering, summarization, and reasoning. Their relatively small size makes it possible to deploy them in environments with limited resources such as laptops, desktops or your own cloud infrastructure, democratizing access to state of the art AI models and helping foster innovation for everyone. Gemma 3n models are designed for efficient execution on low-resource devices. They are capable of multimodal input, handling text, image, video, and audio input, and generating text outputs, with open weights for instruction-tuned variants. These models were trained with data in over 140 spoken languages.",MBPP,"['reasoning', 'general']",text,False,100.0,en,"MBPP (Mostly Basic Python Problems) is a benchmark of 974 crowd-sourced Python programming problems designed to be solvable by entry-level programmers. Each problem consists of a task description, code solution, and 3 automated test cases covering programming fundamentals and standard library functionality.",0.00636,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Poor (<60%),gemma
,0-shot,,,mgsm,MGSM,,,2025-07-19T19:56:13.678210+00:00,benchmark_result,,,,True,,,,,,1277.0,,gemma-3n-e4b-it,,,,0.67,,,google,,,,,,,,0.67,https://huggingface.co/google/gemma-3n-E4B-it,,,,,,,,2025-07-19T19:56:13.678210+00:00,,,,,,False,,False,0.0,False,0.0,0.67,0.67,Unknown,,,,,Undisclosed,Fair (60-69%),Gemma 3n E4B Instructed,google,Google,8000000000.0,8000000000.0,True,11000000000000.0,True,True,proprietary,Proprietary,2025-06-26,2025.0,6.0,2025-06,Very Large (>70B),"Gemma 3n is a multimodal model designed to run locally on hardware, supporting image, text, audio, and video inputs. It features a language decoder, audio encoder, and vision encoder, and is available in two sizes: E2B and E4B. The model is optimized for memory efficiency, allowing it to run on devices with limited GPU RAM. Gemma is a family of lightweight, state-of-the-art open models from Google, built from the same research and technology used to create the Gemini models. Gemma models are well-suited for a variety of content understanding tasks, including question answering, summarization, and reasoning. Their relatively small size makes it possible to deploy them in environments with limited resources such as laptops, desktops or your own cloud infrastructure, democratizing access to state of the art AI models and helping foster innovation for everyone. Gemma 3n models are designed for efficient execution on low-resource devices. They are capable of multimodal input, handling text, image, video, and audio input, and generating text outputs, with open weights for instruction-tuned variants. These models were trained with data in over 140 spoken languages.",MGSM,"['math', 'reasoning']",text,True,1.0,en,"MGSM (Multilingual Grade School Math) is a benchmark of grade-school math problems. Contains 250 grade-school math problems manually translated from the GSM8K dataset into ten typologically diverse languages: Spanish, French, German, Russian, Chinese, Japanese, Thai, Swahili, Bengali, and Telugu. Evaluates multilingual mathematical reasoning capabilities.",0.67,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Fair (60-70%),gemma
,Accuracy. 0-shot.,,,mmlu,MMLU,,,2025-07-19T19:56:11.232243+00:00,benchmark_result,,,,True,,,,,,70.0,,gemma-3n-e4b-it,,,,0.649,,,google,,,,,,,,0.649,https://huggingface.co/google/gemma-3n-E4B-it,,,,,,,,2025-07-19T19:56:11.232243+00:00,,,,,,False,,False,0.0,False,0.0,0.649,0.649,Unknown,,,,,Undisclosed,Fair (60-69%),Gemma 3n E4B Instructed,google,Google,8000000000.0,8000000000.0,True,11000000000000.0,True,True,proprietary,Proprietary,2025-06-26,2025.0,6.0,2025-06,Very Large (>70B),"Gemma 3n is a multimodal model designed to run locally on hardware, supporting image, text, audio, and video inputs. It features a language decoder, audio encoder, and vision encoder, and is available in two sizes: E2B and E4B. The model is optimized for memory efficiency, allowing it to run on devices with limited GPU RAM. Gemma is a family of lightweight, state-of-the-art open models from Google, built from the same research and technology used to create the Gemini models. Gemma models are well-suited for a variety of content understanding tasks, including question answering, summarization, and reasoning. Their relatively small size makes it possible to deploy them in environments with limited resources such as laptops, desktops or your own cloud infrastructure, democratizing access to state of the art AI models and helping foster innovation for everyone. Gemma 3n models are designed for efficient execution on low-resource devices. They are capable of multimodal input, handling text, image, video, and audio input, and generating text outputs, with open weights for instruction-tuned variants. These models were trained with data in over 140 spoken languages.",MMLU,"['general', 'reasoning', 'language', 'math']",text,False,1.0,en,"Massive Multitask Language Understanding benchmark testing knowledge across 57 diverse subjects including STEM, humanities, social sciences, and professional domains",0.649,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,Fair (60-70%),gemma
,Accuracy. 0-shot.,,,mmlu-pro,MMLU-Pro,,,2025-07-19T19:56:11.428457+00:00,benchmark_result,,,,True,,,,,,169.0,,gemma-3n-e4b-it,,,,0.506,,,google,,,,,,,,0.506,https://huggingface.co/google/gemma-3n-E4B-it,,,,,,,,2025-07-19T19:56:11.428457+00:00,,,,,,False,,False,0.0,False,0.0,0.506,0.506,Unknown,,,,,Undisclosed,Poor (<60%),Gemma 3n E4B Instructed,google,Google,8000000000.0,8000000000.0,True,11000000000000.0,True,True,proprietary,Proprietary,2025-06-26,2025.0,6.0,2025-06,Very Large (>70B),"Gemma 3n is a multimodal model designed to run locally on hardware, supporting image, text, audio, and video inputs. It features a language decoder, audio encoder, and vision encoder, and is available in two sizes: E2B and E4B. The model is optimized for memory efficiency, allowing it to run on devices with limited GPU RAM. Gemma is a family of lightweight, state-of-the-art open models from Google, built from the same research and technology used to create the Gemini models. Gemma models are well-suited for a variety of content understanding tasks, including question answering, summarization, and reasoning. Their relatively small size makes it possible to deploy them in environments with limited resources such as laptops, desktops or your own cloud infrastructure, democratizing access to state of the art AI models and helping foster innovation for everyone. Gemma 3n models are designed for efficient execution on low-resource devices. They are capable of multimodal input, handling text, image, video, and audio input, and generating text outputs, with open weights for instruction-tuned variants. These models were trained with data in over 140 spoken languages.",MMLU-Pro,"['language', 'reasoning', 'math', 'general']",text,False,1.0,en,"A more robust and challenging multi-task language understanding benchmark that extends MMLU by expanding multiple-choice options from 4 to 10, eliminating trivial questions, and focusing on reasoning-intensive tasks. Features over 12,000 curated questions across 14 domains and causes a 16-33% accuracy drop compared to original MMLU.",0.506,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,Poor (<60%),gemma
,0-shot,,,mmlu-prox,MMLU-ProX,,,2025-07-19T19:56:13.744918+00:00,benchmark_result,,,,True,,,,,,1311.0,,gemma-3n-e4b-it,,,,0.199,,,google,,,,,,,,0.199,https://huggingface.co/google/gemma-3n-E4B-it,,,,,,,,2025-07-19T19:56:13.744918+00:00,,,,,,False,,False,0.0,False,0.0,0.199,0.199,Unknown,,,,,Undisclosed,Poor (<60%),Gemma 3n E4B Instructed,google,Google,8000000000.0,8000000000.0,True,11000000000000.0,True,True,proprietary,Proprietary,2025-06-26,2025.0,6.0,2025-06,Very Large (>70B),"Gemma 3n is a multimodal model designed to run locally on hardware, supporting image, text, audio, and video inputs. It features a language decoder, audio encoder, and vision encoder, and is available in two sizes: E2B and E4B. The model is optimized for memory efficiency, allowing it to run on devices with limited GPU RAM. Gemma is a family of lightweight, state-of-the-art open models from Google, built from the same research and technology used to create the Gemini models. Gemma models are well-suited for a variety of content understanding tasks, including question answering, summarization, and reasoning. Their relatively small size makes it possible to deploy them in environments with limited resources such as laptops, desktops or your own cloud infrastructure, democratizing access to state of the art AI models and helping foster innovation for everyone. Gemma 3n models are designed for efficient execution on low-resource devices. They are capable of multimodal input, handling text, image, video, and audio input, and generating text outputs, with open weights for instruction-tuned variants. These models were trained with data in over 140 spoken languages.",MMLU-ProX,"['language', 'reasoning', 'math', 'general']",text,False,1.0,en,Extended version of MMLU-Pro providing additional challenging multiple-choice questions for evaluating language models across diverse academic and professional domains. Built on the foundation of the Massive Multitask Language Understanding benchmark framework.,0.199,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,Poor (<60%),gemma
,0-shot,,,openai-mmlu,OpenAI MMLU,,,2025-07-19T19:56:14.045887+00:00,benchmark_result,,,,True,,,,,,1431.0,,gemma-3n-e4b-it,,,,0.356,,,google,,,,,,,,0.356,https://huggingface.co/google/gemma-3n-E4B-it,,,,,,,,2025-07-19T19:56:14.045887+00:00,,,,,,False,,False,0.0,False,0.0,0.356,0.356,Unknown,,,,,Undisclosed,Poor (<60%),Gemma 3n E4B Instructed,google,Google,8000000000.0,8000000000.0,True,11000000000000.0,True,True,proprietary,Proprietary,2025-06-26,2025.0,6.0,2025-06,Very Large (>70B),"Gemma 3n is a multimodal model designed to run locally on hardware, supporting image, text, audio, and video inputs. It features a language decoder, audio encoder, and vision encoder, and is available in two sizes: E2B and E4B. The model is optimized for memory efficiency, allowing it to run on devices with limited GPU RAM. Gemma is a family of lightweight, state-of-the-art open models from Google, built from the same research and technology used to create the Gemini models. Gemma models are well-suited for a variety of content understanding tasks, including question answering, summarization, and reasoning. Their relatively small size makes it possible to deploy them in environments with limited resources such as laptops, desktops or your own cloud infrastructure, democratizing access to state of the art AI models and helping foster innovation for everyone. Gemma 3n models are designed for efficient execution on low-resource devices. They are capable of multimodal input, handling text, image, video, and audio input, and generating text outputs, with open weights for instruction-tuned variants. These models were trained with data in over 140 spoken languages.",OpenAI MMLU,"['general', 'reasoning', 'math', 'legal', 'healthcare', 'finance', 'physics', 'chemistry', 'economics', 'psychology']",text,False,1.0,en,"MMLU (Massive Multitask Language Understanding) is a comprehensive benchmark that measures a text model's multitask accuracy across 57 diverse academic and professional subjects. The test covers elementary mathematics, US history, computer science, law, morality, business ethics, clinical knowledge, and many other domains spanning STEM, humanities, social sciences, and professional fields. To attain high accuracy, models must possess extensive world knowledge and problem-solving ability.",0.356,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Poor (<60%),gemma
,Character-level F-score. 0-shot.,,,wmt24++,WMT24++,,,2025-07-19T19:56:13.584588+00:00,benchmark_result,,,,True,,,,,,1230.0,,gemma-3n-e4b-it,,,,0.501,,,google,,,,,,,,0.501,https://huggingface.co/google/gemma-3n-E4B-it,,,,,,,,2025-07-19T19:56:13.584588+00:00,,,,,,False,,False,0.0,False,0.0,0.501,0.501,Unknown,,,,,Undisclosed,Poor (<60%),Gemma 3n E4B Instructed,google,Google,8000000000.0,8000000000.0,True,11000000000000.0,True,True,proprietary,Proprietary,2025-06-26,2025.0,6.0,2025-06,Very Large (>70B),"Gemma 3n is a multimodal model designed to run locally on hardware, supporting image, text, audio, and video inputs. It features a language decoder, audio encoder, and vision encoder, and is available in two sizes: E2B and E4B. The model is optimized for memory efficiency, allowing it to run on devices with limited GPU RAM. Gemma is a family of lightweight, state-of-the-art open models from Google, built from the same research and technology used to create the Gemini models. Gemma models are well-suited for a variety of content understanding tasks, including question answering, summarization, and reasoning. Their relatively small size makes it possible to deploy them in environments with limited resources such as laptops, desktops or your own cloud infrastructure, democratizing access to state of the art AI models and helping foster innovation for everyone. Gemma 3n models are designed for efficient execution on low-resource devices. They are capable of multimodal input, handling text, image, video, and audio input, and generating text outputs, with open weights for instruction-tuned variants. These models were trained with data in over 140 spoken languages.",WMT24++,['language'],text,True,1.0,en,"WMT24++ is a comprehensive multilingual machine translation benchmark that expands the WMT24 dataset to cover 55 languages and dialects. It includes human-written references and post-edits across four domains (literary, news, social, and speech) to evaluate machine translation systems and large language models across diverse linguistic contexts.",0.501,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Poor (<60%),gemma
,0-shot Accuracy,,,aime-2025,AIME 2025,,,2025-07-19T19:56:12.414248+00:00,benchmark_result,,,,True,,,,,,678.0,,gemma-3n-e4b-it-litert-preview,,,,0.116,,,google,,,,,,,,0.116,https://huggingface.co/google/gemma-3n-E4B-it-litert-preview,,,,,,,,2025-07-19T19:56:12.414248+00:00,,,,,,False,,False,0.0,False,0.0,0.116,0.116,Unknown,,,,,Undisclosed,Poor (<60%),Gemma 3n E4B Instructed LiteRT Preview,google,Google,1910000000.0,1910000000.0,True,0.0,False,True,gemma,Restricted/Community,2025-05-20,2025.0,5.0,2025-05,Very Large (>70B),"Gemma 3n is a generative AI model optimized for use in everyday devices, such as phones, laptops, and tablets. It features innovations like Per-Layer Embedding (PLE) parameter caching and a MatFormer model architecture for reduced compute and memory. These models handle audio, text, and visual data, though this E4B preview currently supports text and vision input. Gemma is a family of lightweight, state-of-the-art open models from Google, built from the same research and technology used to create the Gemini models, and is licensed for responsible commercial use.",AIME 2025,"['math', 'reasoning']",text,False,1.0,en,"All 30 problems from the 2025 American Invitational Mathematics Examination (AIME I and AIME II), testing olympiad-level mathematical reasoning with integer answers from 000-999. Used as an AI benchmark to evaluate large language models' ability to solve complex mathematical problems requiring multi-step logical deductions and structured symbolic reasoning.",0.116,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Poor (<60%),gemma
